TABLE	NV3_DUAL_EX_BP_V2_004781				
WAVE	0.561	1.05E-02	1.05E-02	9.89E-01	9.89E-01
WAVE	0.562	9.40E-03	9.40E-03	9.91E-01	9.91E-01
WAVE	0.563	9.64E-03	9.64E-03	9.90E-01	9.90E-01
WAVE	0.564	9.29E-03	9.29E-03	9.91E-01	9.91E-01
WAVE	0.565	7.79E-03	7.79E-03	9.92E-01	9.92E-01
WAVE	0.566	1.07E-02	1.07E-02	9.89E-01	9.89E-01
WAVE	0.567	8.42E-03	8.42E-03	9.92E-01	9.92E-01
WAVE	0.568	9.29E-03	9.29E-03	9.91E-01	9.91E-01
WAVE	0.569	9.13E-03	9.13E-03	9.91E-01	9.91E-01
WAVE	0.57	8.01E-03	8.01E-03	9.92E-01	9.92E-01
WAVE	0.571	9.25E-03	9.25E-03	9.91E-01	9.91E-01
WAVE	0.572	7.73E-03	7.73E-03	9.92E-01	9.92E-01
WAVE	0.573	9.79E-03	9.79E-03	9.90E-01	9.90E-01
WAVE	0.574	7.85E-03	7.85E-03	9.92E-01	9.92E-01
WAVE	0.575	9.87E-03	9.87E-03	9.90E-01	9.90E-01
WAVE	0.576	8.40E-03	8.40E-03	9.92E-01	9.92E-01
WAVE	0.577	8.83E-03	8.83E-03	9.91E-01	9.91E-01
WAVE	0.578	9.32E-03	9.32E-03	9.91E-01	9.91E-01
WAVE	0.579	7.80E-01	7.80E-01	2.20E-01	2.20E-01
WAVE	0.58	9.90E-01	9.90E-01	9.72E-03	9.72E-03
WAVE	0.581	9.99E-01	9.99E-01	1.42E-03	1.42E-03
WAVE	0.582	9.99E-01	9.99E-01	6.29E-04	6.29E-04
WAVE	0.583	9.99E-01	9.99E-01	1.00E-03	1.00E-03
WAVE	0.584	1.00E+00	1.00E+00	5.70E-05	5.70E-05
WAVE	0.585	1.00E+00	1.00E+00	6.57E-06	6.57E-06
WAVE	0.586	1.00E+00	1.00E+00	1.77E-06	1.77E-06
WAVE	0.587	1.00E+00	1.00E+00	8.31E-07	8.31E-07
WAVE	0.588	1.00E+00	1.00E+00	6.13E-07	6.13E-07
WAVE	0.589	1.00E+00	1.00E+00	5.99E-07	5.99E-07
WAVE	0.59	1.00E+00	1.00E+00	5.23E-07	5.23E-07
